hasPassword,brandPresent,domainMismatch,domainLength,domainAge,specialCharCount,hasSensitiveField,numInputs,hasFileUpload,hasOTPField,label
0,0,0,6,131,2,1,8,0,0,1
1,1,0,16,148,0,1,11,0,1,0
0,1,0,6,4721,3,1,4,0,0,0
0,1,1,11,119,3,1,7,1,0,1
0,0,1,16,25,3,0,5,0,1,1
1,0,1,16,75,6,0,4,0,0,1
1,1,1,17,401,1,0,3,0,0,0
0,0,1,6,119,6,0,7,0,0,1
0,1,0,13,2528,0,1,6,0,0,0
0,0,1,11,24,1,0,3,0,1,1
0,0,1,9,2426,1,0,3,0,1,1
1,1,0,7,2024,0,0,3,0,0,0
1,0,1,16,126,3,0,3,0,0,1
1,1,0,19,3953,0,1,7,0,1,0
0,0,0,5,3430,0,0,2,0,0,0
1,0,1,16,175,3,0,6,0,0,1
1,1,0,8,35,6,0,3,0,0,1
0,0,1,11,113,0,0,3,0,1,1
1,1,1,6,133,2,0,4,0,0,1
0,1,0,13,3258,1,1,3,0,1,0
0,1,0,9,780,0,1,4,0,0,0
0,0,1,17,94,3,0,3,0,0,1
0,1,1,8,80,3,1,5,1,0,1
1,1,0,18,2303,1,0,6,0,0,0
1,0,0,11,2614,2,1,11,0,1,0
0,1,0,12,3160,0,1,3,0,0,0
0,1,0,10,2409,2,1,4,0,1,0
0,1,1,18,85,0,0,7,0,0,1
1,0,1,18,71,0,0,5,0,0,1
0,0,0,10,45,3,0,2,0,1,1
1,0,1,14,55,4,0,7,0,0,1
0,1,0,10,79,0,1,6,0,1,0
1,0,0,6,178,2,1,11,0,1,0
0,1,0,16,672,0,1,6,0,1,0
0,0,0,12,188,2,1,12,0,0,1
0,1,0,8,600,0,1,4,0,1,0
0,0,0,16,4320,1,0,2,0,0,0
0,1,1,10,97,2,1,8,0,0,1
1,0,1,15,110,6,0,7,0,0,1
0,1,1,15,89,6,1,4,1,0,1
1,1,0,13,2341,1,0,3,0,0,0
0,1,1,10,2988,0,1,8,0,0,1
0,0,0,5,970,4,1,8,0,0,1
0,0,1,17,184,5,1,3,0,0,1
0,1,1,12,136,4,1,8,0,0,1
1,1,1,18,38,0,0,1,0,0,1
0,1,1,6,33,4,0,4,0,1,1
0,0,0,6,4000,2,1,9,0,0,0
1,1,0,10,2745,0,0,12,0,0,0
0,1,1,17,144,1,1,3,0,1,0
0,0,0,10,3192,1,1,10,0,1,0
0,0,1,10,45,1,0,2,0,1,1
1,1,0,9,136,1,0,4,0,0,0
1,1,0,9,619,0,1,3,0,0,0
0,1,1,18,1972,6,0,8,0,0,1
0,0,0,16,970,1,1,13,0,1,0
0,1,0,10,3788,0,1,3,0,1,0
0,0,0,10,2327,1,0,3,0,0,0
0,1,0,13,718,0,1,6,0,1,0
0,0,0,8,3488,2,0,1,0,0,0
0,1,0,12,3785,1,1,13,0,0,0
0,1,0,16,4819,2,1,4,0,0,0
0,0,0,11,2677,0,0,1,0,0,0
0,0,0,15,38,4,1,10,1,0,1
0,1,1,10,5,5,1,3,0,0,1
1,1,0,9,4685,0,0,10,0,0,0
0,0,0,14,2664,1,1,2,0,0,0
0,1,0,11,3767,0,1,6,0,1,0
0,0,1,7,94,2,1,4,1,0,1
0,0,1,13,195,6,0,5,0,0,1
1,1,0,9,3293,1,0,2,0,0,0
1,1,1,10,59,4,0,7,0,0,1
1,1,0,17,2948,1,0,3,0,0,0
0,0,1,6,7,3,1,8,0,0,1
0,1,0,18,16,0,1,3,0,1,0
0,1,0,14,112,2,1,10,1,0,1
0,0,1,18,163,3,0,6,0,0,1
0,1,1,7,1703,5,0,4,0,0,1
0,1,0,17,4858,1,1,4,0,1,0
0,0,0,12,3926,2,1,2,0,0,0
0,1,0,4,1168,0,1,4,0,0,0
1,1,0,9,3265,2,0,3,0,0,0
1,1,0,6,80,6,0,2,0,0,1
1,1,0,13,3373,2,1,7,0,1,0
0,1,0,15,82,0,1,3,0,1,0
0,0,0,9,62,4,0,5,0,1,1
1,1,0,17,1625,1,1,6,0,0,0
1,1,1,6,25,0,0,1,0,0,1
0,0,0,14,1121,0,0,12,0,0,0
0,1,0,11,2983,1,1,6,0,1,0
